id,status,notes,db_name,source_name,db_brand,db_model,db_reference,source_reference,db_price,source_price,db_image_count,source_image_count,image,source_url
avi-audemars-piguet-code-11-59-15210st-oo-a056kb-01-green-dial,mismatch,name;reference,"Audemars Piguet Code 11.59 15210ST, Steel, Green Index Dial, 41 mm",Audemars Piguet Code 11.59,Audemars Piguet,NULL,NULL,15210ST.OO.A056KB.01,23900,23900.0,3,3,/api/uploads/aviandco/products/ap-code-11-59-15210st-oo-a056kb-01-498e4e8e61817bb8.jpg,https://www.aviandco.com/audemars-piguet-code-11-59-15210st-oo-a056kb-01-green-dial-g015210st-oo-a056kb-01-001
avi-audemars-piguet-code-11-59-15210st-oo-a348kb-01-blue-dial-,mismatch,name;reference,"Audemars Piguet Code 11.59 15210ST, Steel, Bleu Nuit, Nuage 50 Dial, 41 mm",Audemars Piguet Code 11.59,Audemars Piguet,NULL,NULL,15210ST.OO.A348KB.01,24900,24900.0,3,3,/api/uploads/aviandco/products/ap-code-11-59-15210st-oo-a348kb-01-9073f55f75c2d4dc.jpg,https://www.aviandco.com/audemars-piguet-code-11-59-15210st-oo-a348kb-01-blue-dial-g015210st-oo-a348kb-01-001
avi-audemars-piguet-code-11-59-15212nb-oo-a002kb-01-blue-avent,mismatch,name;price;reference,"Audemars Piguet Code 11.59 15212NB, Starwheel, Black Ceramic & 18K White Gold, Blue Aventurine Dial, 41 mm",Audemars Piguet Code 11.59,Audemars Piguet,NULL,NULL,15212NB.OO.A002KB.01-AB,0,68900.0,4,3,/api/uploads/aviandco/products/audemars-piguet-code-11-59-15212nb-001-1-984cdf30d59a795b.jpg,https://www.aviandco.com/audemars-piguet-code-11-59-15212nb-oo-a002kb-01-blue-aventurine-dial-15212nb-002
avi-audemars-piguet-code-11-59-26393bc-oo-a002kb-01-blue-dial-,mismatch,name;reference,"Audemars Piguet Code 11.59 26393BC, Chronograph, 18K White Gold, Blue Index Dial, 41 mm",Audemars Piguet Code 11.59,Audemars Piguet,NULL,NULL,26393BC.OO.A002KB.01,31900,31900.0,3,3,/api/uploads/aviandco/products/ap-code-11-59-26393bc-oo-a002kb-01-15aae70a0a819cec.jpg,https://www.aviandco.com/audemars-piguet-code-11-59-26393bc-oo-a002kb-01-blue-dial-g026393bc-oo-a002kb-01-001
avi-audemars-piguet-code-11-59-26393bc-oo-a002kb-02-black-dial,mismatch,name,"Audemars Piguet Code 11.59 26393BC, Chronograph, 18K White Gold, Black Index Dial, 41 mm",There has been an error processing your request,Audemars Piguet,NULL,NULL,,30900,0,3,0,/api/uploads/aviandco/products/ap-code-11-59-26393nb-oo-a002kb-01-1-bdf747f3ed54f647.jpg,https://www.aviandco.com/audemars-piguet-code-11-59-26393bc-oo-a002kb-02-black-dial-g026393bc-oo-a002kb-02-001
avi-audemars-piguet-code-11-59-26393cr-oo-a002kb-01-grey-dial-,mismatch,name;reference,"Audemars Piguet Code 11.59 26393CR, Chronograph, 18K White Gold, Grey Index Dial, 41 mm",Audemars Piguet Code 11.59,Audemars Piguet,NULL,NULL,26393CR.OO.A002KB.01,31900,31900.0,3,3,/api/uploads/aviandco/products/ap-code-11-59-26393cr-oo-a002kb-01-f8b0ac85dbb2ee7b.jpg,https://www.aviandco.com/audemars-piguet-code-11-59-26393cr-oo-a002kb-01-grey-dial-g026393cr-oo-a002kb-01-001
avi-audemars-piguet-code-11-59-26393cr-oo-a008kb-01-grey-dial-,mismatch,name;reference,"Audemars Piguet Code 11.59 26393CR, Chronograph, 18K White Gold, Grey Index Dial, 41 mm",Audemars Piguet Code 11.59,Audemars Piguet,NULL,NULL,26393CR.OO.A008KB.01,28900,28900.0,3,3,/api/uploads/aviandco/products/ap-code-11-59-26393cr-oo-a008kb-01-45be6ab4c4c2af46.jpg,https://www.aviandco.com/audemars-piguet-code-11-59-26393cr-oo-a008kb-01-grey-dial-g026393cr-oo-a008kb-01-001
avi-audemars-piguet-code-11-59-26393nb-oo-a002kb-01-grey-dial-,mismatch,name;reference,"Audemars Piguet Code 11.59 26393NB, Chronograph, Black Ceramic, Grey Index Dial, 41 mm",Audemars Piguet Code 11.59,Audemars Piguet,NULL,NULL,26393NB.OO.A002KB.01,30999,30999.0,3,3,/api/uploads/aviandco/products/ap-code-11-59-26393nb-oo-a002kb-01-358b4353eb219c02.jpg,https://www.aviandco.com/audemars-piguet-code-11-59-26393nb-oo-a002kb-01-grey-dial-g026393nb-oo-a002kb-01-001
avi-audemars-piguet-code-11-59-26393nr-oo-a002kb-01-grey-dial-,mismatch,name;reference,"Audemars Piguet Code 11.59 26393NR, Ceramic & 18K Rose Gold, Grey Dial, 41 mm",Audemars Piguet Code 11.59,Audemars Piguet,NULL,NULL,26393NR.OO.A002KB.01,41900,41900.0,3,3,/api/uploads/aviandco/products/ap-code-11-59-26393nr-black-1-94ee91ea1ca9c2c6.jpg,https://www.aviandco.com/audemars-piguet-code-11-59-26393nr-oo-a002kb-01-grey-dial-26393nr-002
avi-audemars-piguet-code-11-59-26393or-oo-a002kb-01-black-dial,mismatch,name;reference,"Audemars Piguet Code 11.59 26393OR, Chronograph, 18K Rose Gold, Black Index Dial, 41 mm",Audemars Piguet Code 11.59,Audemars Piguet,NULL,NULL,26393OR.OO.A002KB.01,36900,36900.0,3,3,/api/uploads/aviandco/products/ap-code-11-59-26393or-oo-a002kb-01-d0de51411d711ebf.jpg,https://www.aviandco.com/audemars-piguet-code-11-59-26393or-oo-a002kb-01-black-dial-g026393or-oo-a002kb-01-001
