id,status,notes,db_name,source_name,db_brand,db_model,db_reference,source_reference,db_price,source_price,db_image_count,source_image_count,image,source_url
avi-rolex-lady-datejust-279174-pink-diamond-dial-279174-008,mismatch,name;price;reference,"Rolex Lady-Datejust 279174, Oyster, 18K White Gold, Pink Diamond Dial, 28 mm",Rolex Lady-Datejust,Rolex,NULL,NULL,279174,0,12800.0,3,3,/api/uploads/aviandco/products/279174-008-49bcb87baeebd72e.jpg,https://www.aviandco.com/rolex-lady-datejust-279174-pink-diamond-dial-279174-008
avi-rolex-lady-datejust-279174-silver-dial-g0279174-006,mismatch,name;price;reference,"Rolex Lady-Datejust 279174, Jubilee, Stainless Steel, Silver Roman Dial, 28mm",Rolex Lady-Datejust,Rolex,NULL,NULL,279174,0,15200.0,3,3,/api/uploads/aviandco/products/rolex-lady-datejust-28-279174-919-deb721c813135177.jpg,https://www.aviandco.com/rolex-lady-datejust-279174-silver-dial-g0279174-006
avi-rolex-lady-datejust-279178-champagne-diamond-dial-279178-0,mismatch,name;reference,"Rolex Datejust 28 279178, 18K Yellow Gold, Champagne Diamond Dial, Presidential Bracelet, 28 mm (2026)",Rolex Datejust 28,Rolex,NULL,NULL,279178,42400,42400.0,3,3,/api/uploads/aviandco/products/rolex-datejust-28-279178-005-1-66ee6c7441037ccf.jpg,https://www.aviandco.com/rolex-lady-datejust-279178-champagne-diamond-dial-279178-005
avi-rolex-lady-datejust-279178-champagne-index-dial-279178-004,mismatch,name;reference,"Rolex Datejust 28 279178, 18K Yellow Gold, Champagne Index Dial, Jubilee Bracelet, 28 mm",Rolex Datejust 28,Rolex,NULL,NULL,279178,42400,42400.0,3,3,/api/uploads/aviandco/products/279178-7fbaf1e8aeb1e244.jpg,https://www.aviandco.com/rolex-lady-datejust-279178-champagne-index-dial-279178-004
avi-rolex-lady-datejust-279381rbr-chocoate-dial-279381rbr-006,mismatch,name;price;reference,"Rolex Lady-Datejust 279381RBR, Jubilee, Steel & 18K Rose Gold, Chocolate Star Diamond Dial, 28 mm",Rolex Lady-Datejust,Rolex,NULL,NULL,279381RBR,0,27900.0,3,3,/api/uploads/aviandco/products/rolex-datejust-28-279381rbr-006-1-b3453576c4acc323.jpg,https://www.aviandco.com/rolex-lady-datejust-279381rbr-chocoate-dial-279381rbr-006
avi-rolex-lady-datejust-279381rbr-chocolate-dial-g0279381rbr,mismatch,name;price;reference,"Rolex Lady-Datejust 279381RBR, Jubilee, Stainless Steel & 18K Rose Gold, Chocolate Diamond Dial, 28 mm",Rolex Lady-Datejust,Rolex,NULL,NULL,279381RBR,0,26518.98,3,3,/api/uploads/aviandco/products/279381rbr-brown-diamond-dial-c6e740e7d543ba01.png,https://www.aviandco.com/rolex-lady-datejust-279381rbr-chocolate-dial-g0279381rbr
avi-rolex-lady-datejust-279381rbr-everose-dial-279381rbr-005,mismatch,name;price;reference,"Rolex Lady-Datejust 279381RBR, Jubilee, Steel & 18K Rose Gold, Rose Star Diamond Roman Dial, 28 mm",Rolex Lady-Datejust,Rolex,NULL,NULL,279381RBR,0,26518.98,3,3,/api/uploads/aviandco/products/279381rbr-1-61c3c07efa12d820.jpg,https://www.aviandco.com/rolex-lady-datejust-279381rbr-everose-dial-279381rbr-005
avi-rolex-lady-datejust-279381rbr-olive-green-dial-g0279381rbr,mismatch,name;price;reference,"Rolex Lady-Datejust 279381RBR, Jubilee, Steel & 18K Rose Gold, Olive Green Dial, 28 mm",Rolex Lady-Datejust,Rolex,NULL,NULL,279381RBR,0,26518.98,3,3,/api/uploads/aviandco/products/rolex-lady-datejust-28-279381rbr-olive-green-diamond-jubilee-f258b4e4115dfc5e.jpg,https://www.aviandco.com/rolex-lady-datejust-279381rbr-olive-green-dial-g0279381rbr-001
avi-rolex-lady-datejust-279381rbr-purple-dial-g0279381rbr-002,mismatch,name;price;reference,"Rolex Lady-Datejust 279381RBR, Jubilee Steel & 18K Rose Gold, Aubergine Diamond Dial, 28 mm",Rolex Lady-Datejust,Rolex,NULL,NULL,279381RBR,0,26518.98,3,3,/api/uploads/aviandco/products/279381rbr-datejust-28-aubergine-diamond-jubilee-1880e2c7f8d2045c.png,https://www.aviandco.com/rolex-lady-datejust-279381rbr-purple-dial-g0279381rbr-002
avi-rolex-lady-datejust-279381rbr-purple-dial-g0279381rbr-004,mismatch,name;price;reference,"Rolex Lady-Datejust 279381RBR, Oyster, Steel & 18K Rose Gold, Aubergine Diamond Dial, 28 mm",Rolex Lady-Datejust,Rolex,NULL,NULL,279381RBR,0,26518.98,3,3,/api/uploads/aviandco/products/279381rbr-oyster-aubergine-a8305dc17b7fc477.png,https://www.aviandco.com/rolex-lady-datejust-279381rbr-purple-dial-g0279381rbr-004
