id,status,notes,db_name,source_name,db_brand,db_model,db_reference,source_reference,db_price,source_price,db_image_count,source_image_count,image,source_url
avi-rolex-daytona-116509-blue-index-dial-116509-011,mismatch,name;reference,"Rolex Daytona 116509, 18K White Gold, Blue Index Dial, Oyster Bracelet, 40 mm",Rolex Daytona,Rolex,NULL,NULL,116509,54600,54600.0,4,3,/api/uploads/aviandco/products/rolex-daytona-116509-blue-index-dial-1-ee8986c7746b0ea5.jpg,https://www.aviandco.com/rolex-daytona-116509-blue-index-dial-116509-011
avi-rolex-daytona-116509-grey-arabic-dial-116509-010,mismatch,name;reference;image_count,"Rolex Daytona 116509, Titan Black, 18K White Gold, Grey Arabic Dial, Oyster Bracelet, 40 mm",Rolex Daytona,Rolex,NULL,NULL,116509,39300,39300.0,1,3,/api/uploads/aviandco/products/rolex-daytona-116509-010-1-a7ca430f0a97c1f5.jpg,https://www.aviandco.com/rolex-daytona-116509-grey-arabic-dial-116509-010
avi-rolex-daytona-116509-meteorite-dial-g0116509-003,mismatch,name;reference,"Rolex Daytona 116509, 18K White Gold, Meteorite Index Dial, 40 mm",Rolex Daytona,Rolex,NULL,NULL,116509,117600,117600.0,3,3,/api/uploads/aviandco/products/116509-oyster-meteorite-index-fae62363bff66d09.jpg,https://www.aviandco.com/rolex-daytona-116509-meteorite-dial-g0116509-003
avi-rolex-daytona-116509-silver-black-dial-g0116509,mismatch,name;reference,"Rolex Daytona 116509, 18K White Gold, Silver and Black Index Dial, 40 mm",Rolex Daytona,Rolex,NULL,NULL,116509,55000,55000.0,3,3,/api/uploads/aviandco/products/rolex-daytona-116509-silver-index-dial-1-748ec2a260347416.jpg,https://www.aviandco.com/rolex-daytona-116509-silver-black-dial-g0116509
avi-rolex-daytona-116515-chocolate-arabic-dial-116515-001,mismatch,name;reference,"Rolex Daytona 116515, 18K Rose Gold, Chocolate Arabic Dial, Oysterflex Bracelet, 40 mm",Rolex Daytona,Rolex,NULL,NULL,116515,35800,35800.0,3,3,/api/uploads/aviandco/products/rolex-daytona-116515-001-1-8b721a1dd2edcd66.jpg,https://www.aviandco.com/rolex-daytona-116515-chocolate-arabic-dial-116515-001
avi-rolex-daytona-116515ln-black-diamond-dial-116515ln-015,mismatch,name;reference,"Rolex Daytona 116515LN, 18K Rose Gold, Black Diamond Dial, Oysterflex Bracelet, 40mm",Rolex Daytona,Rolex,NULL,NULL,116515LN,46000,46000.0,3,3,/api/uploads/aviandco/products/rolex-daytona-116515ln-black-diamond-1-1-ab292a2c2f6b97ad.jpg,https://www.aviandco.com/rolex-daytona-116515ln-black-diamond-dial-116515ln-015
avi-rolex-daytona-116515ln-chocolate-index-dial-116515ln-010,mismatch,name;reference,"Rolex Daytona 116515LN, 18K Rose Gold, Chocolate Index Dial, 40 mm",Rolex Daytona,Rolex,NULL,NULL,116515LN,48800,48800.0,3,3,/api/uploads/aviandco/products/116515ln-010-1-795ca4114ff7bef1.jpg,https://www.aviandco.com/rolex-daytona-116515ln-chocolate-index-dial-116515ln-010
avi-rolex-daytona-116518-white-dial-g0116518-001,mismatch,name;price;reference,"Rolex Daytona 116518, 18K Yellow Gold, White Arabic Dial, 40 mm",Rolex Daytona,Rolex,NULL,NULL,116518,0,28200.0,3,3,/api/uploads/aviandco/products/rolex-daytona-116518-white-index-leather-1-4ac81fa5edf6bfc5.jpg,https://www.aviandco.com/rolex-daytona-116518-white-dial-g0116518-001
avi-rolex-daytona-116518ln-black-dial-116518ln-004,mismatch,name,"Rolex Daytona 116518LN, 18K Yellow Gold, Black Index Dial, 40 mm",This site can’t be reached,Rolex,NULL,NULL,,49900,0,3,0,/api/uploads/aviandco/products/116518ln-004-1-177ca44cd97778d9.jpg,https://www.aviandco.com/rolex-daytona-116518ln-black-dial-116518ln-004
avi-rolex-daytona-116518ln-black-diamond-dial-116518ln-003,mismatch,name,"Rolex Daytona 116518LN, 18K Yellow Gold, Black Diamond Dial, 40 mm",This site can’t be reached,Rolex,NULL,NULL,,0,0,12,0,/api/uploads/aviandco/products/116518ln-003-1-7bc69465b2c19519.jpg,https://www.aviandco.com/rolex-daytona-116518ln-black-diamond-dial-116518ln-003
