id,status,notes,db_name,source_name,db_brand,db_model,db_reference,source_reference,db_price,source_price,db_image_count,source_image_count,image,source_url
avi-breitling-navitimer-8-a13314101c1a1-blue-dial-brnt09053,mismatch,name;price;reference,"Breitling Navitimer 8 A13314101C1A1, Stainless Steel, Blue Arabic Dial Watch, 43 mm",Breitling Navitimer 8,Breitling,NULL,NULL,A13314101C1A1,0,5930.0,3,3,/api/uploads/aviandco/products/stockbrnt09053--1-195-7fe5deee144654b3.jpg,https://www.aviandco.com/breitling-navitimer-8-a13314101c1a1-blue-dial-brnt09053
avi-breitling-premier-b25-datora-42-rb2510371g1p1-cream-dial-r,mismatch,name;reference,"Breitling Premier B25 Datora 42 RB2510371G1P1, 18K Rose Gold, Cream Dial, 42 mm",Breitling Premier B25 Datora 42,Breitling,NULL,NULL,RB2510371G1P1,25600,25600.0,3,3,/api/uploads/aviandco/products/breitling-premier-25-rb2510371g1p1-001-1-548e74e42518e8d4.jpg,https://www.aviandco.com/breitling-premier-b25-datora-42-rb2510371g1p1-cream-dial-rb2510371g1p1-001
avi-breitling-skyracer-raven-chronograph-m27363a3b823-black-di,mismatch,name;price;reference,"Breitling Skyracer Raven Chronograph M27363A3B823, Stainless Steel, Black Index Dial, 45 mm",Breitling Skyracer Raven Chronograph,Breitling,NULL,NULL,M27363A3B823,0,5699.0,3,3,/api/uploads/aviandco/products/breitling-skyracer-raven-chronograph-m27363a3b823-1-81d7ad6b9d6a88d2.jpg,https://www.aviandco.com/breitling-skyracer-raven-chronograph-m27363a3b823-black-dial-brsr09002
avi-breitling-super-avenger-2-a13375101-b1a1-black-dial-g0brsa,mismatch,name;price;reference,"Breitling Super Avenger 2 A13375101/B1A1, Stainless Steel, Black Dial, 48mm",Breitling Super Avenger 2,Breitling,NULL,NULL,A13375101,0,5835.0,3,3,/api/uploads/aviandco/products/brsa09004--1-152-623c3f007f651b73.jpg,https://www.aviandco.com/breitling-super-avenger-2-a13375101-b1a1-black-dial-g0brsa09007
avi-breitling-super-ocean-heritage-ii,mismatch,name;price;reference,"Breitling Super Ocean Heritage II AB2020121/B1A1, Stainless Steel, Black Dial, 46mm",Breitling Super Ocean Heritage II,Breitling,NULL,NULL,AB2020121,0,4985.0,3,3,/api/uploads/aviandco/products/breitling-super-ocean-heritage-ii-g0brsh09019-1-34a1682336689165.jpg,https://www.aviandco.com/breitling-super-ocean-heritage-ii
avi-bvlgari-serpenti-spiga102735-black-dial-g0102735-001,missing_source_url,,"Bvlgari Serpenti Spiga 102735, Black Ceramic, Black Dial, 35 mm",,Bvlgari,NULL,NULL,,13499,,1,0,/api/uploads/aviandco/products/aviandco-404-oswaldo-local.jpg,
avi-cartier-baignoire-de-cartier-wgba0019-silver-roman-dial-wg,mismatch,name;price;reference,"Cartier Baignoire WGBA0019, 18K Rose Gold, Silver Roman Dial, Size 15, 19 mm",Cartier Baignoire,Cartier,NULL,NULL,WGBA0019,0,15400.0,3,3,/api/uploads/aviandco/products/cartier-baignoire-de-cartier-wgba0019-001-1-974e58991f4eb255.jpg,https://www.aviandco.com/cartier-baignoire-de-cartier-wgba0019-silver-roman-dial-wgba0019-001
avi-cartier-baignoire-wgba0020-silver-roman-dial-wgba0020-001,mismatch,name;price;reference,"Cartier Baignoire WGBA0020, 18K Rose Gold, Silver Roman Dial, Size 16, 19 mm",Cartier Baignoire,Cartier,NULL,NULL,WGBA0020,0,17900.0,3,3,/api/uploads/aviandco/products/cartier-baignoire-wgba0020-001-1-0e1e4020416e05a6.jpg,https://www.aviandco.com/cartier-baignoire-wgba0020-silver-roman-dial-wgba0020-001
avi-cartier-baignoire-wgba0021-silver-roman-dial-wgba0021-001,mismatch,name;price;reference,"Cartier Baignoire WGBA0021, 18K Yellow Gold, Silver Roman Dial, Size 16, 19 mm",Cartier Baignoire,Cartier,NULL,NULL,WGBA0021,17900,16400.0,8,3,/api/uploads/aviandco/products/cartier-baignoire-wgba0021-001-1-d874f1eb726f3f79.jpg,https://www.aviandco.com/cartier-baignoire-wgba0021-silver-roman-dial-wgba0021-001
avi-cartier-baignoire-wgba0035-silver-roman-dial-wgba0035-001,mismatch,name,"Cartier Baignoire WGBA0035, 18K Yellow Gold, Silver Roman Dial, Size 17, 19 mm",There has been an error processing your request,Cartier,NULL,NULL,,0,0,3,0,/api/uploads/aviandco/products/cartier-baignoire-wgba0035-001-1-133f4eea5c311831.jpg,https://www.aviandco.com/cartier-baignoire-wgba0035-silver-roman-dial-wgba0035-001
avi-cartier-baignoire-wgba0044-silver-dial-wgba0044-001,mismatch,name;price;reference,"Cartier Baignoire WGBA0044, 18K Yellow Gold, Silver Dial, Size 15, 25 mm",Cartier Baignoire,Cartier,NULL,NULL,WGBA0044,0,18900.0,3,3,/api/uploads/aviandco/products/cartier-baignoire-wgba0044-001-1-2e98cf5657c0a4c4.jpg,https://www.aviandco.com/cartier-baignoire-wgba0044-silver-dial-wgba0044-001
avi-cartier-ballon-bleu-wjbb0033-roman-silver-dial-wjbb0033-00,mismatch,name;price;reference,"Cartier Ballon Bleu WJBB0033, 18K Rose Gold, Roman Silver Dial, 33 mm",Cartier Ballon Bleu,Cartier,NULL,NULL,WJBB0033,0,15999.0,3,3,/api/uploads/aviandco/products/wjbb0033-1-132e283245b766f2.jpg,https://www.aviandco.com/cartier-ballon-bleu-wjbb0033-roman-silver-dial-wjbb0033-001
avi-cartier-ballon-bleu-wsbb0040-silver-dial-wsbb0040-001,mismatch,name;price;reference,"Cartier Ballon Bleu WSBB0040, Steel, Silver Roman Dial, 40 mm",Cartier Ballon Bleu,Cartier,NULL,NULL,WSBB0040,0,4799.0,12,3,/api/uploads/aviandco/products/cartier-ballon-bleu-wsbb0040-1-e70967e4ae000a77.jpg,https://www.aviandco.com/cartier-ballon-bleu-wsbb0040-silver-dial-wsbb0040-001
avi-cartier-crash-platinum-white-dial-g0w155-plat-spy-001,mismatch,name;price,"Cartier Crash Platinum, Paris, White Dial, 38 mm",Cartier Crash,Cartier,NULL,NULL,,0,100000.0,3,3,/api/uploads/aviandco/products/cartier-crash-g0w155plat92-spy-001-ffd4d73aac88e876.jpg,https://www.aviandco.com/cartier-crash-platinum-white-dial-g0w155-plat-spy-001
avi-cartier-crash-wgch0006-ivory-roman-dial-wgch0006-001,mismatch,name;price;reference,"Cartier Crash WGCH0006, 18K Yellow Gold, Ivory Roman Dial, 38 mm",Cartier Crash,Cartier,NULL,NULL,WGCH0006,0,357100.0,3,3,/api/uploads/aviandco/products/wgch0006-001-1-2-f2b5d096d71f05de.jpg,https://www.aviandco.com/cartier-crash-wgch0006-ivory-roman-dial-wgch0006-001
avi-cartier-crash-wgch0006-white-roman-dial-wgch0006-004,mismatch,name;price;reference,"Cartier Crash WGCH0006, 18K Yellow Gold, White Roman Dial, 38 mm",Cartier Crash,Cartier,NULL,NULL,WGCH0006,0,364242.0,3,3,/api/uploads/aviandco/products/wgch0006-004-1-2a75e577daec8993.jpg,https://www.aviandco.com/cartier-crash-wgch0006-white-roman-dial-wgch0006-004
