id,status,notes,db_name,source_name,db_brand,db_model,db_reference,source_reference,db_price,source_price,db_image_count,source_image_count,image,source_url
avi-rolex-sky-dweller-336238-black-index-dial-336238-001,mismatch,name;reference,"Rolex Sky-Dweller 336238, 18K Yellow Gold, Black Index Dial, Oysterlex Bracelet, 42 mm",Rolex Sky-Dweller,Rolex,NULL,NULL,336238,48500,48500.0,11,3,/api/uploads/aviandco/products/rolex-sky-dweller-336238-001-1-1-ee287e95792dd512.jpg,https://www.aviandco.com/rolex-sky-dweller-336238-black-index-dial-336238-001
avi-rolex-sky-dweller-336238-white-index-dial-336238-002,mismatch,name;reference,"Rolex Sky-Dweller 336238, 18K Yellow Gold, White Index Dial, Oysterlex Bracelet, 42 mm",Rolex Sky-Dweller,Rolex,NULL,NULL,336238,45400,45400.0,3,3,/api/uploads/aviandco/products/rolex-sky-dweller-336238-002-1-4cf55d1e5b1e0f73.jpg,https://www.aviandco.com/rolex-sky-dweller-336238-white-index-dial-336238-002
avi-rolex-sky-dweller-336239-black-index-dial-336239-002,mismatch,name;reference,"Rolex Sky-Dweller 336239, 18K White Gold, Black Index Dial, Oysterflex Bracelet, 42 mm",Rolex Sky-Dweller,Rolex,NULL,NULL,336239,44400,44400.0,12,3,/api/uploads/aviandco/products/rolex-sky-sweller-336239-002-1-d5f2acf4858ebb7b.jpg,https://www.aviandco.com/rolex-sky-dweller-336239-black-index-dial-336239-002
avi-rolex-sky-dweller-336933-black-index-dial-336933-006,mismatch,name;reference,"Rolex Sky-Dweller 336933, Stainless Steel & 18K Yellow Gold, Black Index Dial, Jubilee Bracelet, 42 mm",Rolex Sky-Dweller,Rolex,NULL,NULL,336933,29600,29600.0,12,3,/api/uploads/aviandco/products/rolex-sky-dweller-336933-006-1-e4d98fe396d247fa.jpg,https://www.aviandco.com/rolex-sky-dweller-336933-black-index-dial-336933-006
avi-rolex-sky-dweller-336933-champagne-dial-336933-001,mismatch,name;reference,"Rolex Sky-Dweller 336933, 18K Yellow Gold & Stainless Steel, Champagne Dial, 42 mm",Rolex Sky-Dweller,Rolex,NULL,NULL,336933,27600,27600.0,3,3,/api/uploads/aviandco/products/rsky07134-1-1-10e183eadd710a68.jpg,https://www.aviandco.com/rolex-sky-dweller-336933-champagne-dial-336933-001
avi-rolex-sky-dweller-336933-champagne-index-dial-336933-007,mismatch,name;reference,"Rolex Sky-Dweller 336933, Stainless Steel & 18K Yellow Gold, Champagne Index Dial, Oyster Bracelet, 42 mm",Rolex Sky-Dweller,Rolex,NULL,NULL,336933,25000,25000.0,9,3,/api/uploads/aviandco/products/rolex-sky-dweller-336933-007-01-4861c96fe255f6ad.jpg,https://www.aviandco.com/rolex-sky-dweller-336933-champagne-index-dial-336933-007
avi-rolex-sky-dweller-336934-blue-dial-336934-008,mismatch,name;reference,"Rolex Sky-Dweller 336934, Stainless Steel, Blue Index Dial, Jubilee Bracelet, 42 mm",Rolex Sky-Dweller,Rolex,NULL,NULL,336934,27900,27900.0,11,3,/api/uploads/aviandco/products/rolex-sky-dweller-336934-blue-jubilee-1-1-eb13a90610e3519d.jpg,https://www.aviandco.com/rolex-sky-dweller-336934-blue-dial-336934-008
avi-rolex-sky-dweller-336934-blue-dial-336934-021,mismatch,name;reference,"Rolex Sky-Dweller 336934, Stainless Steel, Blue Index Dial, Oyster Bracelet, 42 mm",Rolex Sky-Dweller,Rolex,NULL,NULL,336934,25600,25600.0,3,3,/api/uploads/aviandco/products/336934-016-1-2-496a9c1db8f65880.jpg,https://www.aviandco.com/rolex-sky-dweller-336934-blue-dial-336934-021
avi-rolex-sky-dweller-336934-green-dial-336934-009,mismatch,name;reference,"Rolex Sky-Dweller 336934, Stainless Steel, Green Index Dial, 42 mm",Rolex Sky-Dweller,Rolex,NULL,NULL,336934,30800,30800.0,3,3,/api/uploads/aviandco/products/rolex-sky-dweller-336934-green-jubilee-1-1-c957b5cedf4c7a78.jpg,https://www.aviandco.com/rolex-sky-dweller-336934-green-dial-336934-009
avi-rolex-sky-dweller-336934-green-index-dial-336934-023,mismatch,name;price;reference,"Rolex Sky-Dweller 336934, 18K White Gold & Stainless Steel, Green Index Dial, Oyster Bracelet, 42 mm",Rolex Sky-Dweller,Rolex,NULL,NULL,336934,24000,23500.0,3,3,/api/uploads/aviandco/products/rolex-sky-dweller-336934-023-1-d416a0288814e728.jpg,https://www.aviandco.com/rolex-sky-dweller-336934-green-index-dial-336934-023
