id,status,notes,db_name,source_name,db_brand,db_model,db_reference,source_reference,db_price,source_price,db_image_count,source_image_count,image,source_url
avi-richard-mille-rm67-02-skeleton-dial-rm67-02-021,mismatch,name;price;reference,"Richard Mille RM 67-02 Mutaz Barshim, Quartz TPT, Skeleton Dial, 39 mm",Richard Mille RM 67-02,Richard Mille,NULL,NULL,RM,0,362200.0,3,3,/api/uploads/aviandco/products/richard-mille-rm67-02-017-1-2-435b655a4516a491.jpg,https://www.aviandco.com/richard-mille-rm67-02-skeleton-dial-rm67-02-021
avi-richard-mille-rm67-02-transparent-dial-rm67-02-007,mismatch,name;price;reference,"Richard Mille RM 67-02 ""Italy"", NTPT Carbon, Skeleton Dial, 47 mm",Richard Mille RM 67-02,Richard Mille,NULL,NULL,RM67-02,0,449900.0,11,3,/api/uploads/aviandco/products/rm67-02-005-1-1-9714417b6a196598.jpg,https://www.aviandco.com/richard-mille-rm67-02-transparent-dial-rm67-02-007
avi-richard-mille-rm67-02-wayde-van-niekerk-skeleton-dial-rm67,mismatch,name;reference,"Richard Mille RM 67-02 ""Wayde Van Niekerk"", Quartz TPT, Extra Flat, Skeleton Dial, 39 mm",Richard Mille RM 67-02,Richard Mille,NULL,NULL,RM67-02,319900,319900.0,3,3,/api/uploads/aviandco/products/richard-mille-rm-67-02-wayde-van-niekerk-1-1-9665d29463fb8efd.jpg,https://www.aviandco.com/richard-mille-rm67-02-wayde-van-niekerk-skeleton-dial-rm67-02-020
avi-richard-mille-rm68-01-skeleton-dial-g0rm68-01-spy001,mismatch,name;reference,"Richard Mille RM 68-01 ""Cyril Kongo"" Tourbillion, Carbon, Skeleton Dial, 50 mm",Richard Mille RM 68-01,Richard Mille,NULL,NULL,RM68-01,2150000,2150000.0,3,3,/api/uploads/aviandco/products/richard-mille-rm68-01-g0rm68-01-spy001-1-f7fba2f9a95d3d99.jpg,https://www.aviandco.com/richard-mille-rm68-01-skeleton-dial-g0rm68-01-spy001
avi-richard-mille-rm72-01-skeleton-dial-rm72-01-008,mismatch,name;reference,"Richard Mille RM 72-01 Titanium, Flyback Chronograph, Skeleton Dial, Baguette Diamond Bezel, 47 mm",Richard Mille RM 72-01,Richard Mille,NULL,NULL,RM72-01,655000,655000.0,12,3,/api/uploads/aviandco/products/richard-mille-rm72-01-rm72-01-008-1-d92cc372ca298a27.jpg,https://www.aviandco.com/richard-mille-rm72-01-skeleton-dial-rm72-01-008
avi-richard-mille-rm72-01-skeleton-dial-rm72-01-010,mismatch,name,"Richard Mille RM 72-01 Lifestyle Flyback Chronograph, Black TPZ Ceramic & 18K Rose Gold, Skeleton Dial, 47 mm",There has been an error processing your request,Richard Mille,NULL,NULL,,423400,0,1,0,/api/uploads/aviandco/products/richard-mille-rm72-01-rm72-01-010-1-4632af40b9212464.jpg,https://www.aviandco.com/richard-mille-rm72-01-skeleton-dial-rm72-01-010
avi-richard-mille-sebastien-ogier-rm67-02-transparent-dial-g0r,mismatch,name;price;reference;image_count,"Richard Mille RM 67-02 ""Alexander Zverev"", Carbon, Skeleton Dial, 47 mm",Richard Mille RM 67-02,Richard Mille,NULL,NULL,RM67-02,0,399900.0,1,3,/api/uploads/aviandco/products/rm-67-02-1-edb60e0bce1539bd.jpg,https://www.aviandco.com/richard-mille-sebastien-ogier-rm67-02-transparent-dial-g0rm67-02-11
avi-richard-mille-skeleton-dial-am-ti-rm-011i-024,mismatch,name;price;reference;image_count,"Richard Mille RM 011 ""Felipe Massa"", Titanium AM TI, Transparent Dial, 50 mm",Richard Mille RM 011,Richard Mille,NULL,NULL,RM011,0,142900.0,1,3,/api/uploads/aviandco/products/richard-mille-g0rm11-02-spy006-1-f9ec71951652f967.jpg,https://www.aviandco.com/richard-mille-skeleton-dial-am-ti-rm-011i-024
avi-richard-mille-skeleton-dial-g0rm72-01-003,mismatch,name;price;reference;image_count,"Richard Mille RM 72-01 Flyback Chronograph, 18K Rose Gold, Skeleton Dial, 47 mm",Richard Mille RM 72-01,Richard Mille,NULL,NULL,RM72-01,0,339900.0,1,3,/api/uploads/aviandco/products/richard-mille-72-01-black-1-b3d104da00f26652.jpg,https://www.aviandco.com/richard-mille-skeleton-dial-g0rm72-01-003
avi-richard-mille-titanium-transparent-dial-g0-rm-029-001-01,mismatch,name;price;reference;image_count,"Richard Mille RM 029 Titanium, Transparent Dial, 48 mm",Richard Mille RM 029,Richard Mille,NULL,NULL,RM029,0,200122.98,1,3,/api/uploads/aviandco/products/g02907004--1-242-dc06d59069d61501.jpg,https://www.aviandco.com/richard-mille-titanium-transparent-dial-g0-rm-029-001-01
