id,status,notes,db_name,source_name,db_brand,db_model,db_reference,source_reference,db_price,source_price,db_image_count,source_image_count,image,source_url
avi-audemars-piguet-royal-oak-26240bc-oo-1320bc-01-deep-purple,mismatch,name;price;reference,"Audemars Piguet Royal Oak 26240BC, Chronograph, 18K White Gold, Deep purple dial, 41 mm",Audemars Piguet Royal Oak,Audemars Piguet,NULL,NULL,26240BC.OO.1320BC.01,0,173900.0,3,3,/api/uploads/aviandco/products/26240bc-oo-1320bc-74e8d59b57eaaac1.jpg,https://www.aviandco.com/audemars-piguet-royal-oak-26240bc-oo-1320bc-01-deep-purple-dial-g026240bc-001
avi-audemars-piguet-royal-oak-26240or-oo-1320or-04-green-dial-,mismatch,name;price;reference,"Audemars Piguet Royal Oak 26240OR, ""50th Anniversary"",18K Rose Gold, Green Dial, 41 mm",Audemars Piguet Royal Oak,Audemars Piguet,NULL,NULL,26240OR.OO.1320OR.04,0,125900.0,12,3,/api/uploads/aviandco/products/audemars-piguet-royal-oak-26240or-006-1-97b0f6d955c5d16b.jpg,https://www.aviandco.com/audemars-piguet-royal-oak-26240or-oo-1320or-04-green-dial-26240or-006
avi-audemars-piguet-royal-oak-26240or-oo-1320or-05-blue-dial-2,mismatch,name;price;reference,"Audemars Piguet Royal Oak 26240OR, 50th Anniversary, 18K Rose Gold, Blue Index Dial, 41 mm",Audemars Piguet Royal Oak,Audemars Piguet,NULL,NULL,26240OR.OO.1320OR.05,0,132598.98,3,3,/api/uploads/aviandco/products/ap-royal-oak-26240or-blue-chronograph-1-1-d7435c9000c3ac95.jpg,https://www.aviandco.com/audemars-piguet-royal-oak-26240or-oo-1320or-05-blue-dial-26240or-oo-1320or-05-2
avi-audemars-piguet-royal-oak-26240or-oo-1320or-06-black-dial-,mismatch,name;reference,"Audemars Piguet Royal Oak 26240OR, Chronograph, 18K Rose Gold, Black Index Dial, 41 mm",Audemars Piguet Royal Oak,Audemars Piguet,NULL,NULL,26240OR.OO.1320OR.06,129900,129900.0,3,3,/api/uploads/aviandco/products/ap-royal-oak-2640or-oo-1320or-06-8b02ee04ef5a7d0e.jpg,https://www.aviandco.com/audemars-piguet-royal-oak-26240or-oo-1320or-06-black-dial-g026240or-oo-1320or-06-001
avi-audemars-piguet-royal-oak-26240or-oo-1320or-08-green-dial-,mismatch,name;reference,"Audemars Piguet Royal Oak 26240OR, Flyback Chronograph, 18K Rose Gold, Green Index Dial, 41 mm",Audemars Piguet Royal Oak,Audemars Piguet,NULL,NULL,26240OR.OO.1320OR.08,132700,132700.0,3,3,/api/uploads/aviandco/products/audemars-piguet-royal-oak-26240or-006-1-1-4ad9404e21d1aa5b.jpg,https://www.aviandco.com/audemars-piguet-royal-oak-26240or-oo-1320or-08-green-dial-26240or-007
avi-audemars-piguet-royal-oak-26240or-oo-d002cr-02-black-dial-,mismatch,name;price;reference,"Audemars Piguet Royal Oak 26240OR, 18K Rose Gold, Black Leather, Black Index Dial, 41 mm",Audemars Piguet Royal Oak,Audemars Piguet,NULL,NULL,26240OR.OO.D002CR.02,0,89900.0,3,3,/api/uploads/aviandco/products/ap-royal-oak-26240or-oo-d002cr-02-1bb73db175ea5621.png,https://www.aviandco.com/audemars-piguet-royal-oak-26240or-oo-d002cr-02-black-dial-g026240or-oo-d002cr-02-001
avi-audemars-piguet-royal-oak-26240st-oo-1320st-01-blue-dial-g,mismatch,name;price;reference,"Audemars Piguet Royal Oak 26240ST, 50th Anniversary, Stainless Steel, Blue Index Dial",Audemars Piguet Royal Oak,Audemars Piguet,NULL,NULL,26240ST.OO.1320ST.01,0,76600.0,9,3,/api/uploads/aviandco/products/onysko-production--9-656cc08b444c980d.jpg,https://www.aviandco.com/audemars-piguet-royal-oak-26240st-oo-1320st-01-blue-dial-g026240st-oo-1320st-01-001
avi-audemars-piguet-royal-oak-26240st-oo-1320st-02-black-dial-,mismatch,name;price;reference,"Audemars Piguet Royal Oak 26240ST, 50th Anniversary, Steel, Chronograph, Black Index Dial, 41 mm",Audemars Piguet Royal Oak,Audemars Piguet,NULL,NULL,26240ST.OO.1320ST.02,0,101998.98,4,3,/api/uploads/aviandco/products/ap-royal-oak-26240st-black-1-278dae680a1428aa.jpg,https://www.aviandco.com/audemars-piguet-royal-oak-26240st-oo-1320st-02-black-dial-g026240st-oo-1320st-02-001
avi-audemars-piguet-royal-oak-26240st-oo-1320st-05-blue-dial-2,mismatch,name;reference,"Audemars Piguet Royal Oak 26240ST, Stainless Steel, Blue Grande Tapisserie Dial, 41 mm",Audemars Piguet Royal Oak,Audemars Piguet,NULL,NULL,26240ST.OO.1320ST.05,84900,84900.0,3,3,/api/uploads/aviandco/products/ap-royal-oak-26240st-oo-1320st-05-1-c3964d591fd71cb7.jpg,https://www.aviandco.com/audemars-piguet-royal-oak-26240st-oo-1320st-05-blue-dial-26240st-008
avi-audemars-piguet-royal-oak-26240st-oo-1320st-06-g026240st-o,mismatch,name;reference,"Audemars Piguet Royal Oak 26240ST, Steel, Black Index Dial, 41 mm",Audemars Piguet Royal Oak,Audemars Piguet,NULL,NULL,26240ST.OO.1320ST.06,61900,61900.0,3,3,/api/uploads/aviandco/products/ap-royal-oak-26240st-oo-1320st-91fb5c45c0811ae0.jpg,https://www.aviandco.com/audemars-piguet-royal-oak-26240st-oo-1320st-06-g026240st-oo-1320st-06-001
avi-audemars-piguet-royal-oak-26240st-oo-1320st-07-silver-dial,mismatch,name;reference,"Audemars Piguet Royal Oak 26240ST, Stainless Steel, Silver Grande Tapisserie Dial, 41 mm",Audemars Piguet Royal Oak,Audemars Piguet,NULL,NULL,26240ST.OO.1320ST.07,57900,57900.0,3,3,/api/uploads/aviandco/products/audemars-piguet-royal-oak-26240st-010-1-9b12a64634b5b01e.jpg,https://www.aviandco.com/audemars-piguet-royal-oak-26240st-oo-1320st-07-silver-dial-26240st-010
avi-audemars-piguet-royal-oak-26240st-oo-1320st-08-green-dial-,mismatch,name;reference,"Audemars Piguet Royal Oak 26240ST, Chronograph, Steel, Green Index Dial, 41 mm",Audemars Piguet Royal Oak,Audemars Piguet,NULL,NULL,26240ST.OO.1320ST.08,74900,74900.0,3,3,/api/uploads/aviandco/products/1g-a9030256a870e25b.jpg,https://www.aviandco.com/audemars-piguet-royal-oak-26240st-oo-1320st-08-green-dial-g026240st-oo-1320st-08-001
avi-audemars-piguet-royal-oak-26300st-oo-1110st-07-blue-dial-g,mismatch,name;price;reference,"Audemars Piguet Royal Oak 26300ST, Chronograph, Stainless Steel, Blue Index Dial",Audemars Piguet Royal Oak,Audemars Piguet,NULL,NULL,26300ST.OO.1110ST.07,0,39999.0,3,3,/api/uploads/aviandco/products/26300st-oo-1110st-07-001-1-19cf752cec9cd237.jpg,https://www.aviandco.com/audemars-piguet-royal-oak-26300st-oo-1110st-07-blue-dial-g026300st-oo-1110st-07-001
avi-audemars-piguet-royal-oak-26319or-ay-1256or-01-purple-dial,mismatch,name;reference,"Audemars Piguet Royal Oak 26319OR, 18K Rose Gold, Baguette Diamond Bezel, Purple Index Dial, 38 mm",Audemars Piguet Royal Oak,Audemars Piguet,NULL,NULL,26319OR.AY.1256OR.01,239900,239900.0,3,3,/api/uploads/aviandco/products/ap-royal-oak-26319or-ay-1256or-01-e3e7c4172d402a44.jpg,https://www.aviandco.com/audemars-piguet-royal-oak-26319or-ay-1256or-01-purple-dial-g026319or-ay-1256or-01-001
avi-audemars-piguet-royal-oak-26320ba-oo-1220ba-02-blue-dial-2,mismatch,name;reference,"Audemars Piguet Royal Oak 26320BA, 18K Yellow Gold, Blue Dial, 41 mm",Audemars Piguet Royal Oak,Audemars Piguet,NULL,NULL,26320BA.OO.1220BA.02,98900,98900.0,3,3,/api/uploads/aviandco/products/audemars-piguet-royal-oak-26320ba-001-10-a1c15e701e7a926e.jpg,https://www.aviandco.com/audemars-piguet-royal-oak-26320ba-oo-1220ba-02-blue-dial-26320ba-001
avi-audemars-piguet-royal-oak-26320or-oo-1220or-01-black-dial-,mismatch,name;reference,"Audemars Piguet Royal Oak 26320OR, Chronograph, 18K Rose Gold, Black Dial, 41 mm",Audemars Piguet Royal Oak,Audemars Piguet,NULL,NULL,26320OR.OO.1220OR.02,89900,89900.0,3,3,/api/uploads/aviandco/products/audemars-piguet-royal-oak-26320or-004-1-921fa2a8b24c97f7.jpg,https://www.aviandco.com/audemars-piguet-royal-oak-26320or-oo-1220or-01-black-dial-26320or-004
avi-audemars-piguet-royal-oak-26320or-oo-1220or-02-silver-dial,mismatch,name;reference,"Audemars Piguet Royal Oak 26320OR, Chronograph, 18K Rose Gold, Silver Grande Tapisserie Dial, 41 mm",Audemars Piguet Royal Oak,Audemars Piguet,NULL,NULL,26320OR.OO.1220OR.02,85700,85700.0,12,3,/api/uploads/aviandco/products/audemars-piguet-royal-oak-26320or-005-1-4efd51af503a706e.jpg,https://www.aviandco.com/audemars-piguet-royal-oak-26320or-oo-1220or-02-silver-dial-26320or-005
avi-audemars-piguet-royal-oak-26320st-oo-1220st-01-black-dial-,mismatch,name;reference,"Audemars Piguet Royal Oak 26320ST, Chronograph, Stainless Steel, Black Index Dial, 41 mm",Audemars Piguet Royal Oak,Audemars Piguet,NULL,NULL,26320ST.OO.1220ST.01,38800,38800.0,10,3,/api/uploads/aviandco/products/26320st-oo-1220st-01-002-1-dde47ead75cdb65f.jpg,https://www.aviandco.com/audemars-piguet-royal-oak-26320st-oo-1220st-01-black-dial-26320st-004
avi-audemars-piguet-royal-oak-26320st-oo-1220st-02-silver-dial,mismatch,name;reference,"Audemars Piguet Royal Oak 26320ST, Chronograph, Stainless Steel, Silver Index Dial, 41 mm",Audemars Piguet Royal Oak,Audemars Piguet,NULL,NULL,26320ST.OO.1220ST.02,42900,42900.0,4,3,/api/uploads/aviandco/products/26320st-oo-1220st-02-001-1-1-23f5e536f425cf63.jpg,https://www.aviandco.com/audemars-piguet-royal-oak-26320st-oo-1220st-02-silver-dial-26320st-002
avi-audemars-piguet-royal-oak-26320st-oo-1220st-03-blue-dial-2,mismatch,name;reference,"Audemars Piguet Royal Oak 26320ST, Stainless Steel, Blue Dial, 41 mm",Audemars Piguet Royal Oak,Audemars Piguet,NULL,NULL,26320ST.OO.1220ST.03,49900,49900.0,12,3,/api/uploads/aviandco/products/audemars-piguet-26320st-001-1-60288f1dffe49383.jpg,https://www.aviandco.com/audemars-piguet-royal-oak-26320st-oo-1220st-03-blue-dial-26320st-001
